scope,industry,target,comparison,block,wape_gain_pp,gain_sd,gain_min,gain_max,sse_reduction
4004,대형할인점,cnt,sequential,7,-1.03946151763465,0.564577122354995,-1.69583065313378,-0.256705120418033,-0.0335703571930565
4004,대형할인점,cnt,sequential,8,-0.160366003585636,1.68317634007968,-2.5978862706414,2.22542867085694,-0.0196080184483366
4004,대형할인점,cnt,sequential,9,2.0555313931206,2.88960611180484,-1.81609676798967,5.92981945605384,-0.067658112441662
4004,대형할인점,cnt,sequential,10,-0.386262123347017,0.661328873917683,-1.83148161277638,0.727411326632965,0.0120164914548678
4004,대형할인점,ticket,leave_one_block_out,1,-0.115875980366839,0.195088819336933,-0.4835734337646,0.144792968316493,-0.0365508533173323
4004,대형할인점,ticket,leave_one_block_out,2,-0.751677125504529,0.553621350837604,-1.51753970725875,-0.0971002354005823,-0.0338910822860313
4004,대형할인점,ticket,leave_one_block_out,3,-0.33383555353037,0.204407038812043,-0.646329160254006,-0.033149506465191,-0.0180389795724117
4004,대형할인점,ticket,leave_one_block_out,4,-1.01611400603219,0.505322756035283,-2.06397175777642,-0.461143823450089,-0.0962407082640661
4004,대형할인점,ticket,leave_one_block_out,5,-0.308745433664882,0.21516779594323,-0.651199962321503,4.29854122296902e-05,-0.0191814329608752
4004,대형할인점,ticket,leave_one_block_out,6,0.782782917922911,0.498453847679064,-0.00808958016569328,1.35069068439533,0.0439329788161228
4004,대형할인점,ticket,leave_one_block_out,7,0.16258856635374,0.197288233591736,-0.239998969834312,0.403888606216979,0.00620794644726933
4004,대형할인점,ticket,leave_one_block_out,8,-0.272925970198934,0.601942523581367,-1.2287743020887,0.887862185855848,-0.0128829479412038
4004,대형할인점,ticket,leave_one_block_out,9,-2.04124932228551,0.799991594642536,-3.42876504433627,-0.871919199377316,-0.124002002009792
4004,대형할인점,ticket,sequential,2,1.35570393378832,0.221096724726473,1.02138737105734,1.65639134456646,0.0339221777267443
4004,대형할인점,ticket,sequential,3,0.579020535220457,0.326603754811025,-0.0978100240230928,0.983259507785572,0.0529592826194773
4004,대형할인점,ticket,sequential,4,-0.286692792826462,0.43878175436698,-0.846509291522482,0.467498188673041,-0.0196554821226929
4004,대형할인점,ticket,sequential,5,0.44293557558977,0.157526019893311,0.230563115141438,0.712957390439031,0.0260814811500688
4004,대형할인점,ticket,sequential,6,0.30823573185097,0.224488245166081,0.0256160205540923,0.823898921876529,0.0473251429825602
4004,대형할인점,ticket,sequential,7,0.0210171004952572,0.185306033867577,-0.356525390998744,0.288653192224467,0.0026220166094712
4004,대형할인점,ticket,sequential,8,0.0124596181485317,0.657939187727484,-0.859411939870253,0.904797964073945,-0.0114648847799089
4004,대형할인점,ticket,sequential,9,-2.04124932228551,0.799991594642536,-3.42876504433627,-0.871919199377316,-0.124002002009792
4004,대형할인점,ticket,sequential,10,-0.218671657320254,0.0885163332428807,-0.421878203904796,-0.120885894602019,-0.0177591852036084
4010,편의점,amt,leave_one_block_out,1,20.6215193590842,0.694544634766668,19.3812961715336,21.6497370880044,0.90368194642933
4010,편의점,amt,leave_one_block_out,2,0.21557542704328,0.174791761300033,-0.0809703565377615,0.426657812268526,0.060641713803945
4010,편의점,amt,leave_one_block_out,3,-0.0669861016337127,0.132264983192949,-0.313127988323665,0.0873447200690144,-0.0463039997462359
4010,편의점,amt,leave_one_block_out,4,-0.203905598869523,0.182209702863272,-0.463203480123955,0.161133033987362,-0.0267955158566466
4010,편의점,amt,leave_one_block_out,5,-0.142340791026933,0.087037354021677,-0.333045629193046,-0.028638091334382,-0.0283312322926883
4010,편의점,amt,leave_one_block_out,6,1.73893509814047,0.40330352025675,0.987689932632208,2.24711375542291,0.301459105862307
4010,편의점,amt,leave_one_block_out,7,-0.0788659584565665,0.0755897008891684,-0.175150060713801,0.0657693127428957,-0.0205868090131622
4010,편의점,amt,leave_one_block_out,8,-0.509703038049575,0.538534770249942,-1.95549662637751,0.0260758544676123,-0.161905015749732
4010,편의점,amt,leave_one_block_out,9,3.10596894187603,0.337012371270806,2.69989616996675,3.61944900874164,0.45776110008214
4010,편의점,amt,sequential,2,3.00345413574286,0.39406741478732,2.50062533368299,3.90165802061054,0.142979230787774
4010,편의점,amt,sequential,3,4.3892537251092,0.336018777129154,3.87682517625583,4.90153771638385,0.385289545187273
4010,편의점,amt,sequential,4,2.45185158976222,0.374280630247511,1.85087107838322,2.85070804062063,0.222257518239187
4010,편의점,amt,sequential,5,0.856717279344956,0.122547546858981,0.708324100639335,1.10338355020344,0.0555601864413418
4010,편의점,amt,sequential,6,0.174164462393949,0.196834100681603,-0.26362163482786,0.395976441524012,0.0380008181464154
4010,편의점,amt,sequential,7,0.0471094176186235,0.10301685132324,-0.0929580765808624,0.204120503550712,0.0462403248324458
