scenario,scope,industry,model,family,target,n,wape,wape_sd,wape_min,wape_max,mae,r2_original,bias,sse,nonpositive
main,8003,한정식,without_M3,log_ridge_smear,amt,16,1.10678934047289,0.276360655745953,0.793910843314989,1.80171604776887,72330066.8865789,-1.10512374747607,-0.137619158039184,2.24241936200751e+17,0
main,8003,한정식,without_M3,log_ridge_smear,cnt,16,0.827413204435903,0.081876064300717,0.68600373207807,0.952531903564588,682.305613707956,-0.391889665288878,-0.177017178089075,22042632.4985816,0
main,8003,한정식,without_M3,log_ridge_smear,ticket,16,0.77482978612271,0.114594075853352,0.647162771072101,1.04110418735883,71827.5269578923,-0.664672940510974,0.00690914584988276,180589576242.299,0
main,8003,한정식,without_M4,log_ridge_smear,amt,16,1.30435089184632,0.252698527059722,0.907849166198042,1.77008442728601,85240961.2207719,-1.68007244986733,0.0100655476259268,2.85486606683853e+17,0
main,8003,한정식,without_M4,log_ridge_smear,cnt,16,0.854324204885087,0.196004467401715,0.713771046712503,1.39434241482795,704.497097453365,-0.77952947012146,-0.142430310920855,28181482.4181067,0
main,8003,한정식,without_M4,log_ridge_smear,ticket,16,0.856333151751241,0.164893072217446,0.691049300324504,1.19651126582142,79382.9737110907,-0.921085408059426,0.0259405774609737,208406102678.78,0
main,8003,한정식,without_M5,log_ridge_smear,amt,16,1.09849227603446,0.372544722338939,0.776825523369396,2.07721354075441,71787843.3541971,-1.57192853851239,-0.126215096804545,2.73966903816205e+17,0
main,8003,한정식,without_M5,log_ridge_smear,cnt,16,0.812046553731996,0.0764685173798057,0.691471434302592,0.893956189818375,669.633889371247,-0.350085714506717,-0.171551202411958,21380605.0785499,0
main,8003,한정식,without_M5,log_ridge_smear,ticket,16,0.781668213966694,0.140542804955403,0.643800575213001,1.12749716705842,72461.4563306534,-0.728349925182241,0.0118511590950467,187497479529.681,0
main,8003,한정식,without_M6,log_ridge_smear,amt,16,1.13181181191966,0.324542489244386,0.788345348798569,1.95734480770977,73965316.6737148,-1.37481605519234,-0.113340876500949,2.52970093076684e+17,0
main,8003,한정식,without_M6,log_ridge_smear,cnt,16,0.831709011440534,0.077789874959915,0.684635313390809,0.929626550958671,685.84804355915,-0.37420023609339,-0.182496054304666,21762494.2113382,0
main,8003,한정식,without_M6,log_ridge_smear,ticket,16,0.795127287674025,0.140496880385781,0.65680084473684,1.12215021928564,73709.1264600881,-0.742300681208987,0.0300830318512348,189010906616.66,0
main,8003,한정식,without_M7,log_ridge_smear,amt,16,1.11371936662468,0.38055418256523,0.782180116939701,2.12756387250861,72782952.758131,-1.72698778189517,-0.131924526627963,2.90484120442386e+17,0
main,8003,한정식,without_M7,log_ridge_smear,cnt,16,0.785495537371427,0.069556366183456,0.671961982846022,0.877061029316135,647.739257504913,-0.254090783769894,-0.22166041463515,19860383.3018335,0
main,8003,한정식,without_M7,log_ridge_smear,ticket,16,0.794528865063706,0.174368538401431,0.644467567793261,1.23170970227335,73653.6520617819,-0.819026561320148,0.032971997027128,197334399982.173,0
main,8003,한정식,without_M8,log_ridge_smear,amt,16,1.02543658565686,0.113861061022992,0.851092772377715,1.26033445055856,67013562.6684081,-0.462480275850576,-0.18411317808943,1.55786285298114e+17,0
main,8003,한정식,without_M8,log_ridge_smear,cnt,16,0.661942327064583,0.065520641046522,0.564174682461747,0.774723807910742,545.854191455631,-0.054587967806004,-0.310662955469596,16700960.9967534,0
main,8003,한정식,without_M8,log_ridge_smear,ticket,16,0.901578357955076,0.0690082003959685,0.766478870076274,0.987854064580345,83577.2513789431,-1.04825584947598,0.132284770835191,222201999498.556,0
main,8003,한정식,without_M9,log_ridge_smear,amt,16,1.40491584082561,0.480876925601108,0.93410331084596,2.6332961880503,91813006.3427549,-3.62421930180077,0.0713931026154939,4.92580966271427e+17,0
main,8003,한정식,without_M9,log_ridge_smear,cnt,16,1.18929088873921,0.19466817510728,0.927801875615796,1.5131891137975,980.718999126571,-1.74310368331824,0.0237374594149454,43441105.9330197,0
main,8003,한정식,without_M9,log_ridge_smear,ticket,16,0.74644524560497,0.140401958716219,0.587172842688879,1.05666218560346,69196.2505333919,-0.673225818391088,0.00757779559232135,181517422520.348,0
main,8004,일식회집,M1,log_ridge_smear,amt,239,0.705746646701377,0.0063528488715235,0.697097450547464,0.713352194679579,1274127445.25921,0.0875098240884496,0.310179145467283,9.59679254473566e+20,0
main,8004,일식회집,M1,log_ridge_smear,cnt,239,0.740816166231013,0.00827225300209895,0.730711490398417,0.753027784695217,26611.5952237012,0.0541697402980268,0.331860617580994,499561291391.834,0
main,8004,일식회집,M1,log_ridge_smear,ticket,239,0.193426468977942,0.00154754735863129,0.191766304148453,0.19738112604311,11602.0264775345,0.290184890917477,-0.00277855361395669,61988135589.2957,0
main,8004,일식회집,M1,raw_ridge,amt,239,0.527431391841854,0.00406891980870661,0.521695966724531,0.53327248626072,952204045.145569,0.398720382879448,0.000263111714916276,6.3237456130633e+20,0
main,8004,일식회집,M1,raw_ridge,cnt,239,0.548529334953545,0.0047469477722804,0.542278660703887,0.556379628966288,19704.2684750994,0.372739266953046,0.000422773396041468,331301709398.747,0.1
main,8004,일식회집,M1,raw_ridge,ticket,239,0.210321903983456,0.000967497895779197,0.208953593946893,0.211724963969584,12615.4414735234,0.216875485601388,-0.000230054034424398,68390244108.2002,0
main,8004,일식회집,M2,log_ridge_smear,amt,239,0.524986493814594,0.00652966936022714,0.512427008921397,0.533465700128252,947790121.690244,0.459369380259144,0.16612116271005,5.68589124348861e+20,0
main,8004,일식회집,M2,log_ridge_smear,cnt,239,0.467834685576576,0.00781647366956337,0.45575981369554,0.477428265190562,16805.5556178145,0.553179926623992,0.140405138782017,235997961141.406,0
main,8004,일식회집,M2,log_ridge_smear,ticket,239,0.172006496817463,0.00242959279149413,0.167534989540222,0.175120670346145,10317.2225648793,0.374420500179976,-0.0012042890198111,54631841955.0845,0
main,8004,일식회집,M2,raw_ridge,amt,239,0.502559197164707,0.00661989139473146,0.492061405342304,0.513118728114131,907300755.827649,0.538900876990116,-0.0042930576527205,4.84944686847164e+20,26.8
main,8004,일식회집,M2,raw_ridge,cnt,239,0.506668276291662,0.00735521405107191,0.494919677687767,0.517933193916396,18200.5357009981,0.575618197729431,-0.0054213076919567,224146689123.988,40.4
main,8004,일식회집,M2,raw_ridge,ticket,239,0.172260377231567,0.00162052949196809,0.170002240900263,0.175316223091849,10332.4507148948,0.391101342316451,0.000790695969579831,53175104431.6525,0
main,8004,일식회집,M3,log_ridge_smear,amt,239,0.446751271165065,0.0118669291729493,0.433693621541385,0.465261666244729,806547304.838563,0.629356687906366,0.168151847675839,3.89810988452889e+20,0
