scenario,scope,industry,model,family,target,repeat,alpha,n,mae,wape,r2_original,bias,sse,nonpositive
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,2,1,228,11961.1381503568,0.177496374643421,0.843488634204882,0.00769839826718657,168193708850.279,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,2,1,228,2018.11043564626,0.0718048382826749,0.188728048253886,0.00191448915890537,1852045014.68028,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,amt,3,1,228,375871007.201112,0.197291549108444,0.864455877568265,0.00510155573195238,1.28761005510067e+20,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,3,1,228,12728.0242622155,0.188876521156923,0.834524768209085,0.0118999297126138,177826656973.955,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,3,1,228,2003.05694977872,0.071269231757275,0.247794378835933,-0.000225971155135226,1717203050.95345,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,amt,4,1,228,364349804.734206,0.191244166259701,0.864635199505128,0.00523884092333232,1.28590657489908e+20,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,4,1,228,12344.1819542349,0.183180523230566,0.835314111419061,0.0107394204596203,176978395498.712,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,4,1,228,2022.68690763341,0.0719676702194894,0.211529109947713,0.00015528483005297,1799992688.02387,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,amt,5,1,228,376023902.603768,0.197371802626975,0.854501012156532,-0.00801624592373018,1.38217693540032e+20,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,5,1,228,12284.6281436758,0.182296779113779,0.837261413815683,0.00351543530424636,174885742286.743,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,5,1,228,2060.81541895224,0.0733242915127793,0.152235539066222,-0.00212730101302847,1935353416.46678,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,amt,6,1,228,373889098.026581,0.196251261553021,0.860646294494357,0.0150102623751719,1.32379943302206e+20,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,6,1,228,12812.0863473775,0.190123953898997,0.832090771822255,0.0158596005533606,180442332056.396,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,6,1,228,2021.75092747936,0.0719343678280991,0.219445876657798,0.00260650581640286,1781919576.6754,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,amt,7,1,228,388644648.0594,0.203996326397473,0.850281413513763,0.00482480804629186,1.42226128242654e+20,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,7,1,228,12605.8701061967,0.187063824106826,0.830990122383603,0.0147583131317116,181625136322.977,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,7,1,228,2037.87292654464,0.0725079923013827,0.170939442829667,-0.0019064949132526,1892654452.64141,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,amt,8,1,228,380088632.662172,0.199505345450354,0.85911467176816,0.00524442717384569,1.33834918101181e+20,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,8,1,228,12704.6860119075,0.188530195015706,0.834810899249602,0.0146974982244023,177519168500.66,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,8,1,228,1987.08138592907,0.0707008174829931,0.208977224451575,0.000134748303877564,1805818363.127,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,amt,9,1,228,371667718.871809,0.195085278207124,0.861701345883024,-0.0131662260449008,1.31377690491591e+20,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,cnt,9,1,228,12433.4286893917,0.18450489318098,0.839436953082516,0.000551836249937799,172547816116.467,0
general_gu_aggregate,8005,중국음식,M5,log_ridge_smear,ticket,9,1,228,2088.45249884733,0.0743076252379412,0.125302300125453,-0.00107130019387961,1996839051.21858,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,0,1,228,330889858.701012,0.173681320337824,0.888097722929244,0.00404933592151285,1.06302283389333e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,0,1,228,10583.1864839594,0.157048368597099,0.8603284770761,0.00410886604000766,150096904093.787,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,0,1,228,2024.76497843554,0.0720416084615459,0.186507197939058,0.00154749674072275,1857114972.71972,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,1,1,228,315992026.624203,0.165861572838069,0.878728928913586,0.00379527330582768,1.15202229150392e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,1,1,228,10166.1395629352,0.150859633410908,0.851167592460743,0.00390575197459216,159941576728.127,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,1,1,228,1961.00784528271,0.069773114847647,0.236136159653997,0.0013306104655258,1743817488.52828,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,2,1,228,334999483.327818,0.175838427944804,0.866805552141401,0.00434421282234176,1.26528917130058e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,2,1,228,11660.7706761991,0.173039094988792,0.834474927365331,0.00886496911421538,177880218044.876,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,2,1,228,1969.45033446807,0.0700735005747859,0.245759790713139,0.000633993673875393,1721847792.80807,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,3,1,228,325778546.74276,0.170998435425446,0.879761746712548,0.0142153220208209,1.14221097280436e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,3,1,228,10977.214845162,0.162895521664054,0.845173861192264,0.012714562735721,166382692916.565,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,3,1,228,1974.21104959177,0.0702428879252149,0.25681602500426,0.00227619635717564,1696607620.8091,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,4,1,228,330751412.479817,0.173608651073836,0.873647522306039,0.0120825967404691,1.20029343837883e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,4,1,228,11312.3136762579,0.167868194575202,0.837310757782344,0.0105108829121833,174832715180.884,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,4,1,228,1916.93502977139,0.0682049938298104,0.263701784967833,0.00131251643376171,1680888184.94623,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,5,1,228,332228205.565816,0.174383807417548,0.862435183072262,-0.00589209621432956,1.30680577162944e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,5,1,228,10402.3986992183,0.154365582396657,0.842467979800094,0.00414107806785994,169290547082.593,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,5,1,228,1921.9457971077,0.0683832780960726,0.212868029933539,-0.00299875348559713,1796936080.33582,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,6,1,228,299763089.450923,0.157343139402242,0.885144822785532,-0.00188681801013801,1.09107409755964e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,6,1,228,10764.6174526776,0.159740699275895,0.846624246471337,0.00404084125439326,164824047778.496,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,6,1,228,1961.57275899872,0.0697932146089413,0.258103965077838,-0.00186575774492828,1693667394.67736,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,7,1,228,313994512.451354,0.1648130943495,0.879413927452216,0.00998765870558281,1.14551510410069e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,7,1,228,10663.9832130102,0.158247345342395,0.847370205467566,0.0170522323563208,164022408807.495,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,7,1,228,1954.93552624267,0.0695570603250751,0.246199180960767,-0.000644218450101151,1720844712.99511,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,8,1,228,329238071.65324,0.172814311126661,0.867441424901006,0.0206953078169831,1.25924865737535e+20,0
