scope,model,family,target,repeat,wape_new,wape_old,mae_new,mae_old,r2_original_new,r2_original_old
all11_observed,M3,log_ridge_smear,cnt,2,0.211159606911491,0.211159606912,669603.765680716,669603.765681,0.842685258651415,0.842685258652
all11_observed,M3,log_ridge_smear,ticket,2,0.0949871677459008,0.0949871677459,1905.71656758268,1905.71656758,0.438653129452482,0.438653129454
all11_observed,M3,log_ridge_smear,amt,3,0.211660554364998,0.211660554365,12368240607.3051,12368240607.3,0.841665851892259,0.841665851892
all11_observed,M3,log_ridge_smear,cnt,3,0.211670479314019,0.211670479314,671223.782356815,671223.782357,0.842922737678393,0.842922737678
all11_observed,M3,log_ridge_smear,ticket,3,0.0930438451193779,0.0930438451193,1866.72791034184,1866.72791034,0.46405303873437,0.464053038736
all11_observed,M3,log_ridge_smear,amt,4,0.203900454694069,0.203900454695,11914784458.3564,11914784458.4,0.849715628147523,0.849715628147
all11_observed,M3,log_ridge_smear,cnt,4,0.20708148981435,0.207081489815,656671.734763093,656671.734764,0.845570693138997,0.845570693139
all11_observed,M3,log_ridge_smear,ticket,4,0.0934386215442248,0.0934386215442,1874.6482641241,1874.64826412,0.46387721596674,0.463877215967
all11_observed,M3,log_ridge_smear,amt,5,0.207608849808692,0.207608849809,12131482005.9094,12131482005.9,0.838865863204719,0.838865863204
all11_observed,M3,log_ridge_smear,cnt,5,0.214032574251201,0.214032574251,678714.171678746,678714.171679,0.836122586701173,0.836122586701
all11_observed,M3,log_ridge_smear,ticket,5,0.0951685088692036,0.0951685088691,1909.35479357955,1909.35479358,0.445231114999048,0.445231115
all11_observed,M3,log_ridge_smear,amt,6,0.205409324090487,0.205409324091,12002954215.8054,12002954215.8,0.845005116354802,0.845005116354
all11_observed,M3,log_ridge_smear,cnt,6,0.212666414546105,0.212666414547,674381.971517769,674381.971519,0.841174280579539,0.841174280579
all11_observed,M3,log_ridge_smear,ticket,6,0.0954175084894969,0.0954175084894,1914.35044418137,1914.35044418,0.441431340439191,0.44143134044
all11_observed,M3,log_ridge_smear,amt,7,0.207497298905215,0.207497298905,12124963604.6971,12124963604.7,0.842298997096932,0.842298997096
all11_observed,M3,log_ridge_smear,cnt,7,0.212436465518931,0.212436465519,673652.785018692,673652.78502,0.834810351581339,0.834810351581
all11_observed,M3,log_ridge_smear,ticket,7,0.0945560283357251,0.0945560283358,1897.06666742872,1897.06666743,0.444885184450348,0.44488518445
all11_observed,M3,log_ridge_smear,amt,8,0.208174865686628,0.208174865687,12164556758.9585,12164556759,0.844112509107548,0.844112509107
all11_observed,M3,log_ridge_smear,cnt,8,0.211794581870914,0.211794581871,671617.321351526,671617.321352,0.842470791235569,0.842470791236
all11_observed,M3,log_ridge_smear,ticket,8,0.0946239355427306,0.0946239355426,1898.42908187395,1898.42908187,0.456396524426205,0.456396524427
all11_observed,M3,log_ridge_smear,amt,9,0.205413682735082,0.205413682736,12003208910.2393,12003208910.3,0.847629565394861,0.847629565394
all11_observed,M3,log_ridge_smear,cnt,9,0.205823127402436,0.205823127403,652681.368319754,652681.368321,0.847853373607636,0.847853373608
all11_observed,M3,log_ridge_smear,ticket,9,0.0950029683443957,0.0950029683444,1906.033573164,1906.03357316,0.441608474755709,0.441608474756
all11_observed,M4,log_ridge_smear,amt,0,0.175937272826296,0.175937272827,10280774935.3063,10280774935.3,0.883677091405158,0.883677091405
all11_observed,M4,log_ridge_smear,cnt,0,0.200107868557944,0.200107868558,634557.83181537,634557.831816,0.853582942720624,0.85358294272
all11_observed,M4,log_ridge_smear,ticket,0,0.0874265132268477,0.0874265132268,1754.02802985017,1754.02802985,0.512485039761708,0.512485039762
all11_observed,M4,log_ridge_smear,amt,1,0.18321811665879,0.183218116659,10706226095.1347,10706226095.2,0.868747397872422,0.868747397872
all11_observed,M4,log_ridge_smear,cnt,1,0.203684268927891,0.203684268928,645898.879425397,645898.879426,0.851436518802388,0.851436518802
all11_observed,M4,log_ridge_smear,ticket,1,0.0857906488069711,0.0857906488069,1721.20787107233,1721.20787107,0.510902267733346,0.510902267734
all11_observed,M4,log_ridge_smear,amt,2,0.178425808184451,0.178425808185,10426190807.2518,10426190807.3,0.877495036611578,0.877495036612
all11_observed,M4,log_ridge_smear,cnt,2,0.201388019415592,0.201388019416,638617.291138382,638617.291139,0.852361016138092,0.852361016138
all11_observed,M4,log_ridge_smear,ticket,2,0.0878720559539961,0.0878720559539,1762.96690208778,1762.96690209,0.498772933234218,0.498772933235
all11_observed,M4,log_ridge_smear,amt,3,0.182944843711566,0.182944843712,10690257576.2348,10690257576.2,0.867512822190799,0.86751282219
all11_observed,M4,log_ridge_smear,cnt,3,0.198933172644699,0.198933172645,630832.778437293,630832.778438,0.854436723708515,0.854436723708
all11_observed,M4,log_ridge_smear,ticket,3,0.0857436835731094,0.085743683573,1720.26561301375,1720.26561301,0.520482395425235,0.520482395426
