scope,industry,target,repeat,comparison,block,wape_gain_pp,sse_reduction
4004,대형할인점,amt,5,leave_one_block_out,6,1.31012082659546,-0.0713371169765102
4004,대형할인점,amt,5,leave_one_block_out,7,-0.0419987428962987,0.0803894614759242
4004,대형할인점,amt,5,leave_one_block_out,8,0.939320848375302,-0.266403558376251
4004,대형할인점,amt,5,leave_one_block_out,9,-2.4930109503925,-0.282892180009337
4004,대형할인점,amt,6,sequential,2,-0.553694175516306,7.62986405058452e-05
4004,대형할인점,amt,6,sequential,3,-2.04229413310562,-0.109282909393303
4004,대형할인점,amt,6,sequential,4,-4.24318885139315,-0.206317749807818
4004,대형할인점,amt,6,sequential,5,-0.8196264259696,-0.0127729972054949
4004,대형할인점,amt,6,sequential,6,3.23614561663638,0.0746248021559471
4004,대형할인점,amt,6,sequential,7,-1.66422356635686,-0.03968017448909
4004,대형할인점,amt,6,sequential,8,3.45875209964572,0.0999758002605311
4004,대형할인점,amt,6,sequential,9,-3.23403264250678,-0.402175574350448
4004,대형할인점,amt,6,sequential,10,-2.39143434997028,-0.229016382156362
4004,대형할인점,amt,6,leave_one_block_out,1,2.91347674082885,-0.289455512118935
4004,대형할인점,amt,6,leave_one_block_out,2,-0.723722332992727,0.0064609199292216
4004,대형할인점,amt,6,leave_one_block_out,3,-0.820751544956977,-0.0358417642085977
4004,대형할인점,amt,6,leave_one_block_out,4,-8.04969310080216,-0.560125250786887
4004,대형할인점,amt,6,leave_one_block_out,5,-0.867228260565012,-0.184010320489073
4004,대형할인점,amt,6,leave_one_block_out,6,1.63684578650661,-0.0403954277372585
4004,대형할인점,amt,6,leave_one_block_out,7,1.45359455656284,0.173623174716665
4004,대형할인점,amt,6,leave_one_block_out,8,-0.10144437602021,-0.367067720185972
4004,대형할인점,amt,6,leave_one_block_out,9,-3.23403264250678,-0.402175574350448
4004,대형할인점,amt,7,sequential,2,0.844078171139828,0.0019788488701471
4004,대형할인점,amt,7,sequential,3,-4.36303523023985,-0.330805787704038
4004,대형할인점,amt,7,sequential,4,-1.07778105475616,-0.0605519889284227
4004,대형할인점,amt,7,sequential,5,-2.20863599318176,-0.000992200878338512
4004,대형할인점,amt,7,sequential,6,2.8217884982021,0.132633516349583
4004,대형할인점,amt,7,sequential,7,-0.223620120451029,-0.030919503156841
4004,대형할인점,amt,7,sequential,8,-5.18742637979394,-0.233984614271992
4004,대형할인점,amt,7,sequential,9,3.22822534955293,-0.232816175858374
4004,대형할인점,amt,7,sequential,10,0.116972053685716,0.0247702266784841
4004,대형할인점,amt,7,leave_one_block_out,1,8.05424756795849,-0.268662466877361
4004,대형할인점,amt,7,leave_one_block_out,2,2.27390929699921,0.171340017005203
4004,대형할인점,amt,7,leave_one_block_out,3,-1.45324701532243,-0.0527651998823835
4004,대형할인점,amt,7,leave_one_block_out,4,-5.72215645392915,-0.60996349810975
4004,대형할인점,amt,7,leave_one_block_out,5,-0.0265801210703298,-0.0369354657074568
4004,대형할인점,amt,7,leave_one_block_out,6,0.709722724798245,-0.100264658907607
4004,대형할인점,amt,7,leave_one_block_out,7,0.799974924709468,0.0216681134437128
4004,대형할인점,amt,7,leave_one_block_out,8,-5.43042396347377,-0.807788855848254
4004,대형할인점,amt,7,leave_one_block_out,9,3.22822534955293,-0.232816175858374
4004,대형할인점,amt,8,sequential,2,0.53030686651736,0.0187844842943972
4004,대형할인점,amt,8,sequential,3,-3.43422101970402,-0.125554333336737
4004,대형할인점,amt,8,sequential,4,-4.24894627529549,-0.282334223395307
4004,대형할인점,amt,8,sequential,5,-2.40661547262234,-0.0335474614170443
